idx,latency
0,0.0005729198455810547
1,0.0005354881286621094
2,0.0009794235229492188
3,0.0009770393371582031
4,0.0008013248443603516
5,0.001310586929321289
6,0.0008618831634521484
7,0.0009348392486572266
8,0.002080202102661133
9,0.0013687610626220703
